slice,combo_kind,combo_size,combo,n,mean_surplus,median_surplus,bust_or_major_underperform_rate,underperform_rate,positive_surplus_rate,big_overperform_rate,mean_surplus_delta_vs_baseline,bust_rate_delta_vs_baseline,big_overperform_rate_delta_vs_baseline,example_players
xRAPM historical mature,positive,3,feel_iq_passing + upside_tools + risk_uncertainty,14,0.7470752947104222,0.42281746031746015,0.07142857142857142,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.659567515492746,-0.2699562916954221,0.10489993098688749,Bruce Brown | OG Anunoby | Montrezl Harrell | Ja Morant | Cody Zeller
xRAPM historical top30,positive,3,upside_tools + motor_competitiveness + risk_uncertainty,12,0.3802689386781557,0.13621031746031745,0.08333333333333333,0.5,0.5,0.3333333333333333,0.29983831088267016,-0.23756218905472637,0.002487562189054715,Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr. | Ante Zizic
xRAPM historical top30,positive,3,upside_tools + production_stats + risk_uncertainty,12,0.3802689386781557,0.13621031746031745,0.08333333333333333,0.5,0.5,0.3333333333333333,0.29983831088267016,-0.23756218905472637,0.002487562189054715,Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr. | Ante Zizic
xRAPM historical mature,positive,2,shooting + risk_uncertainty,20,0.367628008281765,-0.016587301587301498,0.2,0.55,0.45,0.4,0.28012022906408873,-0.14138486312399356,0.07632850241545897,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,3,shooting + athleticism_tools + risk_uncertainty,20,0.367628008281765,-0.016587301587301498,0.2,0.55,0.45,0.4,0.28012022906408873,-0.14138486312399356,0.07632850241545897,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,3,size_frame + production_stats + risk_uncertainty,19,0.3674388436921509,0.2766269841269841,0.2631578947368421,0.47368421052631576,0.5263157894736842,0.42105263157894735,0.2799310644744746,-0.07822696838715149,0.09738113399440629,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,2,motor_competitiveness + risk_uncertainty,19,0.3670942321633289,-0.0042063492063492,0.21052631578947367,0.5263157894736842,0.47368421052631576,0.3684210526315789,0.27958645294565265,-0.1308585473345199,0.04474955504703787,Bruce Brown | Klay Thompson | Montrezl Harrell | Cory Jefferson | Ja Morant
xRAPM historical mature,positive,3,athleticism_tools + motor_competitiveness + risk_uncertainty,19,0.3670942321633289,-0.0042063492063492,0.21052631578947367,0.5263157894736842,0.47368421052631576,0.3684210526315789,0.27958645294565265,-0.1308585473345199,0.04474955504703787,Bruce Brown | Klay Thompson | Montrezl Harrell | Cory Jefferson | Ja Morant
xRAPM historical mature,positive,3,motor_competitiveness + production_stats + risk_uncertainty,19,0.3670942321633289,-0.0042063492063492,0.21052631578947367,0.5263157894736842,0.47368421052631576,0.3684210526315789,0.27958645294565265,-0.1308585473345199,0.04474955504703787,Bruce Brown | Klay Thompson | Montrezl Harrell | Cory Jefferson | Ja Morant
xRAPM historical top30,positive,2,feel_iq_passing + risk_uncertainty,14,0.35876509936585677,0.13621031746031745,0.07142857142857142,0.5,0.5,0.35714285714285715,0.2783344715703712,-0.24946695095948826,0.02629708599857855,Klay Thompson | Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr.
xRAPM historical top30,positive,3,feel_iq_passing + athleticism_tools + risk_uncertainty,14,0.35876509936585677,0.13621031746031745,0.07142857142857142,0.5,0.5,0.35714285714285715,0.2783344715703712,-0.24946695095948826,0.02629708599857855,Klay Thompson | Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr.
xRAPM historical top30,positive,3,feel_iq_passing + production_stats + risk_uncertainty,14,0.35876509936585677,0.13621031746031745,0.07142857142857142,0.5,0.5,0.35714285714285715,0.2783344715703712,-0.24946695095948826,0.02629708599857855,Klay Thompson | Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr.
xRAPM historical top30,positive,3,feel_iq_passing + shooting + risk_uncertainty,13,0.34259257343185057,-0.0042063492063492,0.07692307692307693,0.5384615384615384,0.46153846153846156,0.38461538461538464,0.262161945636365,-0.24397244546498276,0.05376961347110604,Klay Thompson | Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr.
xRAPM historical top30,positive,3,upside_tools + size_frame + risk_uncertainty,12,0.32396646231420395,0.12382936507936515,0.08333333333333333,0.5,0.5,0.3333333333333333,0.2435358345187184,-0.23756218905472637,0.002487562189054715,Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr. | Ante Zizic
xRAPM historical mature,positive,2,size_frame + risk_uncertainty,20,0.31507509822885493,0.12382936507936515,0.25,0.5,0.5,0.4,0.22756731901117863,-0.09138486312399358,0.07632850241545897,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,3,athleticism_tools + size_frame + risk_uncertainty,20,0.31507509822885493,0.12382936507936515,0.25,0.5,0.5,0.4,0.22756731901117863,-0.09138486312399358,0.07632850241545897,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,2,production_stats + risk_uncertainty,21,0.31409180844003887,-0.0042063492063492,0.23809523809523808,0.5238095238095238,0.47619047619047616,0.38095238095238093,0.22658402922236257,-0.1032896250287555,0.057280883367839874,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,3,athleticism_tools + production_stats + risk_uncertainty,21,0.31409180844003887,-0.0042063492063492,0.23809523809523808,0.5238095238095238,0.47619047619047616,0.38095238095238093,0.22658402922236257,-0.1032896250287555,0.057280883367839874,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical top30,positive,2,upside_tools + risk_uncertainty,13,0.29872239988954596,-0.0042063492063492,0.07692307692307693,0.5384615384615384,0.46153846153846156,0.3076923076923077,0.21829177209406042,-0.24397244546498276,-0.02315346345197089,Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr. | Ante Zizic
xRAPM historical top30,positive,3,athleticism_tools + upside_tools + risk_uncertainty,13,0.29872239988954596,-0.0042063492063492,0.07692307692307693,0.5384615384615384,0.46153846153846156,0.3076923076923077,0.21829177209406042,-0.24397244546498276,-0.02315346345197089,Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr. | Ante Zizic
