pick,expected_xrapm_first5_avg_pick_ev,expected_xrapm_peak_pick_ev,raw_mean_xrapm_avg_ev_target,raw_median_xrapm_avg_ev_target,raw_mean_xrapm_peak_ev_target,raw_median_xrapm_peak_ev_target,mature_pick_count,mature_count,no_xrapm_signal_count,no_xrapm_signal_rate,expected_prob_bust_or_no_translation,expected_prob_rotation_plus,expected_prob_starter_plus,expected_prob_star,chart_x_pick,chart_y_expected_xrapm_first5_avg,chart_y_expected_xrapm_peak
42,-3.089037037037037,-2.3455555555555554,-3.1112037037037035,-3.9875,-2.483333333333333,-3.7,18.0,18,3,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.0970873786407767,0.0,42,-3.089037037037037,-2.3455555555555554
43,-3.089037037037037,-2.3455555555555554,-3.558240740740741,-4.066666666666666,-2.6833333333333336,-3.55,18.0,18,1,0.0555555555555555,0.8333333333333334,0.1666666666666666,0.0970873786407767,0.0,43,-3.089037037037037,-2.3455555555555554
44,-3.089037037037037,-2.3455555555555554,-3.2862962962962965,-3.95,-2.5500000000000003,-3.55,18.0,18,5,0.2777777777777778,0.8333333333333334,0.1666666666666666,0.0970873786407767,0.0,44,-3.089037037037037,-2.3455555555555554
45,-3.089037037037037,-2.3455555555555554,-2.6174074074074074,-2.675,-1.7555555555555555,-1.55,18.0,18,4,0.2222222222222222,0.8970588235294118,0.1029411764705882,0.0952380952380952,0.0,45,-3.089037037037037,-2.3455555555555554
46,-3.089037037037037,-2.3455555555555554,-2.872037037037037,-3.525,-2.2555555555555555,-3.25,18.0,18,3,0.1666666666666666,0.8970588235294118,0.1029411764705882,0.0952380952380952,0.0,46,-3.089037037037037,-2.3455555555555554
47,-3.102222222222222,-2.4500000000000006,-3.2814814814814817,-4.0,-2.555555555555556,-4.0,18.0,18,4,0.2222222222222222,0.8970588235294118,0.1029411764705882,0.075,0.0,47,-3.102222222222222,-2.4500000000000006
48,-3.102222222222222,-2.4500000000000006,-2.9229629629629628,-3.1,-2.344444444444445,-2.9,18.0,18,2,0.1111111111111111,0.8970588235294118,0.1029411764705882,0.075,0.0,48,-3.102222222222222,-2.4500000000000006
49,-3.615138888888888,-3.025,-3.646111111111111,-4.0,-3.033333333333333,-4.0,18.0,18,5,0.2777777777777778,0.8970588235294118,0.1029411764705882,0.075,0.0,49,-3.615138888888888,-3.025
50,-3.615138888888888,-3.025,-3.5841666666666665,-4.0,-3.0166666666666666,-4.0,18.0,18,8,0.4444444444444444,0.8970588235294118,0.1029411764705882,0.075,0.0,50,-3.615138888888888,-3.025
51,-3.775324074074074,-3.351111111111112,-3.968703703703704,-4.0,-3.7333333333333343,-4.0,18.0,18,9,0.5,0.8970588235294118,0.1029411764705882,0.075,0.0,51,-3.775324074074074,-3.351111111111112
52,-3.775324074074074,-3.351111111111112,-3.581944444444444,-4.0,-3.055555555555556,-3.85,18.0,18,3,0.1666666666666666,0.8970588235294118,0.1029411764705882,0.05,0.0,52,-3.775324074074074,-3.351111111111112
53,-3.8354938271604935,-3.351111111111112,-4.097407407407407,-4.0,-3.861111111111112,-4.0,18.0,18,6,0.3333333333333333,0.9393939393939394,0.0606060606060606,0.05,0.0,53,-3.8354938271604935,-3.351111111111112
54,-3.8354938271604935,-3.351111111111112,-3.847777777777778,-4.0,-3.45,-4.0,18.0,18,8,0.4444444444444444,0.9393939393939394,0.0606060606060606,0.05,0.0,54,-3.8354938271604935,-3.351111111111112
55,-3.8354938271604935,-3.351111111111112,-3.561296296296296,-4.0,-2.655555555555556,-3.95,18.0,18,3,0.1666666666666666,0.9393939393939394,0.0606060606060606,0.05,0.0,55,-3.8354938271604935,-3.351111111111112
56,-3.850151515151514,-3.5238636363636364,-3.9822222222222217,-4.0,-3.577777777777778,-4.0,18.0,18,6,0.3333333333333333,0.9393939393939394,0.0606060606060606,0.05,0.0,56,-3.850151515151514,-3.5238636363636364
57,-3.850151515151514,-3.5238636363636364,-3.9564814814814806,-4.0,-3.811111111111112,-4.0,18.0,18,12,0.6666666666666666,0.9393939393939394,0.0606060606060606,0.05,0.0,57,-3.850151515151514,-3.5238636363636364
58,-3.850151515151514,-3.5238636363636364,-3.724166666666666,-4.0,-3.233333333333333,-4.0,18.0,18,7,0.3888888888888889,0.9393939393939394,0.0606060606060606,0.05,0.0,58,-3.850151515151514,-3.5238636363636364
59,-3.850151515151514,-3.5238636363636364,-4.255882352941176,-4.0,-4.2294117647058815,-4.0,17.0,17,10,0.5882352941176471,1.0,0.0,0.0,0.0,59,-3.850151515151514,-3.5238636363636364
60,-3.850151515151514,-3.5238636363636364,-3.325392156862745,-4.0,-2.764705882352941,-4.0,17.0,17,7,0.4117647058823529,1.0,0.0,0.0,0.0,60,-3.850151515151514,-3.5238636363636364
